Abelian group,आबेली समूह,आबेल गट
proper subspace,उचित उपसमष्टि,उचित उप-अवकाश
property of conservation,संरक्षण गुणधर्म,अक्षयतेचा गुणधर्म
proper value (=eigen value),"उचित मान, आइगन मान",उचित मुल्य
proper vector,उचित सदिश,उचित सदिश
proportional,"समानुपातिक,आनुपातिक",प्रमाणीत
proportional relationship,आनुपातिक संबंध,प्रमाणीत संबंध
proportional sampling,आनुपातिक प्रतिचयन,प्रमाणीत नमुना
proposition,साध्य,विधान
pseudocode,छद्‌म कूट,छद्‌म संकेत
pseudometric,छद्‌म दूरीक,छद्‌म दुरीत
pseudometric space,छद्‌म दूरीक समष्टि,छद्‌म दुरीत अवकाश
pseudonorm,छद्‌म मानक,छद्‌म मानक
pseudonorm topology,छद्‌म मानक संस्थिति,छद्‌म मानक संस्थिती
pull,1. अभिकर्ष  2. अभिकर्षण 3. अपकर्ष,ओढा
pulley,"पुली, घिरनी, कप्पी",कप्पी
punched card,छिद्रित कार्ड,छिद्रीत पत्रीका
punch card machine,पंच कार्ड मशीन,पत्रीका छिद्र यंत्र
punching machine,पंचींग मशीन,छिद्री यंत्र
pure bending,शुद्‌ध बंकन,शुद्‌ध वक्रता
pure decimal,शुद्‌ध दशमलव,"शुद्‌ध दशांस, दशमान"
pure geometry,शुद्‌ध ज्यामिति,शुद्‌ध भुमिती
pure induction,शुद्‌ध आगमन,शुद्‌ध प्रेरण
purely transcendental,शुद्‌धतः अबीजीय,शुद्‌ध अबीजीय
pure mathematics,शुद्‌ध गणित,शुद्‌ध गणित
pure number,संख्यामात्र,शुद्‌ध संख्या
pure strategy,अविकल्पी युक्ति,"शुद्‌ध धोरण, स्पष्ट युक्ती"
pyramid,पिरैमिड,सुची
pyramidal solid,पिरैमिडी घनाकृति,घनसुची पदार्थ
pyramidal surface,पिरैमिडी पृष्ठ,घनसुची पृष्ठभाग
Q.E.D.,इति सिद्धम्,इति सिद्धम्
quadrangle,चतुष्कोण,चौकोन
quadrangular prism,चतुर्भुजी प्रिज्म,चौकोनी चिती
quadrant,1. चतुर्थाश 2. वृत्त पाद,चरण
quadratic,"1. वर्ग 2. द्विघात
 3. द्विसमलंबाक्ष","वर्गीय, वर्ग"
quadratic cost,द्विघात लागत,वर्ग खर्च
quadratic cost function ,द्विघात लागत फलन,वर्ग खर्च फल
quadratic curve,द्विघात वक्र,वर्ग वक्र
quadratic equation,द्विघात समीकरण,वर्गसमीकरण
quadratic expression,द्विघात व्यंजक,"वर्ग राशी, वर्गसमीकरण अभिराशी"
quadratic form,द्विघाती समघात,वर्ग रूप
quadratic function,द्विघाती फलन,वर्ग फल
quadratic functional,द्विघात फलनक,वर्ग फलनक
quadratic interpolation ,द्विघात अंतर्वेशन,वर्गीय अंतर्वेशन
quadratic objective function,द्विघाती उद्‌देश्य फलन ,वर्गीय उदिष्ट फल
quadratic programming ,"द्विघाती क्रमादेशन, द्विघाती प्रोग्रामन",वर्गीय प्रायोजन
quadratic reciprocity ,द्विघाती व्युत्क्रमणीयता नियम,वर्गीय व्युत्क्रमता नियम
quadratic surface,द्विघाती पृष्ठ,वर्गीय पृष्ठ
quadratic term,द्विघाती पद,वर्ग पद
quadrature formula,क्षेत्रकलन-सूत्र,चतु: सूत्र
quadrilateral,चतुर्भुज,चौकोन
qualitative analysis,गुणात्मक विश्लेषण,गुणात्मक विश्लेषण
quality control,गुणता नियन्त्रण,गुणात्मक नियंत्रण
quantum mechanics,क्वान्टम यांत्रिकी,गुणात्मक यांत्रिकी
quantum number,क्वान्टम संख्या,गुणात्मक संख्या
quantum statistics ,क्वान्टम सांख्यिकी,गुणात्मक सांख्यिकी
quarter ,"1. चतुर्थांश, चौथाई 2. क्वार्टर",चतुर्थांश
quartic,चतुर्घाती,"चौकटी, चतुर्घाती"
quartile,चतुर्थक,चतुर्थक
quasi linear constitutive equation,रैखिककल्प संरचक  समीकरण,कस्परेषीय संरचक समीकरण
quasi regular,नियमितकल्प,कस्पजियकीत
quaternion,चतुष्टयी,चतुर्दल
queue length,पंक्त लम्बाई,रांगेची लांबी
queuing model,पंक्ति निदर्श,रांग प्रतिकृती
queuing problem,पंक्ति समस्या,रांगेचा प्रश्न
queuing process,पंक्ति प्रक्रम,रांगेची प्रणाली
queuing system,पंक्ति प्रणाली,रांगे्ची प्रणाली
queuing theory,पंक्ति सिद्‌धांत,रांगेचा सिद्‌धांत
quintile,पंचमक,पंचकडी
quintuplet,पंचक,पंचक
quotation,"निवेदित दर, निवेदित मूल्य",अवतरज
quotient,1. भागफल 2. विभाग,भागाकार
quotient field,विभाग क्षेत्र,भागित क्षेत्र
quotient group,विभाग समूह,भागित गट
quotient law,भागफल-नियम,भागाकार नियम
quotient set,विभाग समुच्चय,भागित संच
quotient space,विभाग समष्टि,भागित अवकाश
quotient topology,विभाग संस्थिति ,भागित संस्थिती
radial,त्रिज्य,त्रिज्यात्मक
radian,रेडियन,"अरीय, रेडियन, त्रिज्यी"
radian measure,रेडियन माप,अरीय माप
radical,करणी,करणी
radical axis,मूलाक्ष,मूलगामी अक्षष
radical sign,करणी चिह्न,करणी चिन्ह
radius,त्रिज्या,त्रिज्या
radius of convergence,अभिसरण त्रिज्या,अभिसरण-त्रिज्या
radius of curvature,वक्रता त्रिज्या,वक्रता-त्रिज्या
radius vector,"ध्रुवांतर, ध्रुवांतर रेखा",त्रिज्या सदिश
radix,मूलांक,"मूलांक, करणीयूक्ता संख्या"
random error,यादृच्छिक त्रुटि,यादृच्छिक त्रुटी
random function,यादृच्छिक फलन,यादृच्छिक फल
randomization,यादृच्छिकरीकरण,यादृच्छिकता
randomised blocks,यादृच्छिकरीकृत खंडक,यादृच्छिक कप्पे
random model,यादृच्छिक निदर्श,यादृच्छिक प्रतिकृति
random number,यादृच्छिक संख्या,यादृच्छिक संख्या
random sampling,यादृच्छिक प्रतिचयन,यादृच्छिक निवड
random variable,यादृच्छिक चर,यादृच्छिक चल
range,"1. परास 2. परिसर 
 3. माला, श्रेणी","व्याप्ती, परिसर, प्रतिक्षेत्र"
range of convergence,अभिसरण परिसर,अभिसरण-व्याप्ती
range of integration,समाकलन परिसर,समाकलन-व्याप्ती
range of relation,संबंध परिसर,संबंध-व्याप्ती
range space,परिसर समष्टि,व्याप्ती अवकाश
rank,कोटि,कोटी
rank correlation,कोटि सहसंबंध,कोटी सहसंबंध
rank of matrix,आव्यूह की कोटी,सारणी-कोटी
rank order statistics,कोटि-क्रम प्रतिदर्शज,कोटीक्रम सांख्यिकी
rate of change,परिवर्तन-दर,परिवर्तन दर
rate of convergence,अभिसरण-दर,अभिसरण दर
Ratio,अनपातु,गुणोत्तर
Rational,परिमेय,परिमेय
rational expression,परिमेय व्यंजक,परिमेय राशी
rational field,परिमेय क्षेत्र,परिमेय क्षेत्र
rational function,परिमेय फलन,परिमेय फल
rationalisation of the denominator,हर का परिमेयकरण,छेद-परिमेयकरण
rational number,परिमेय संख्या,परिमेय संख्या
rational number field,परिमेय संख्या क्षेत्र,परिमेय संख्याक्षेत्र
rational operation,परिमेय संक्रिया,परिमेय क्रिया
ratio test,अनपातु परीक्षण,गुणोत्तर चाचणी
raw data,"असंंसाधित दत्त, यथा प्राप्त उपात्त",कच्ची सामग्री
ray,"1. रश्मि, किरण 2. पख-अर 3. रे, शंकुश
 4. अर्धरेखा 5. अर",किरण
ray vector,किरण सदिश,किरण सदिश
real,वास्तविक,वास्तव
real axis,वास्तविक अक्ष,वास्तव अक्ष
real continuum,वास्तविक सांतत्यक,वास्तव संततक
real line,वास्तविक रेखा,वास्तव रेषा
real linear vector space,वास्तविक रैखिक सदिश समष्टि,वास्तवरेषीय सदिश अवकाश
real matrix,वास्तविक आव्यूह,वास्तव सारणी
real number,वास्तविक संख्या,वास्तव संख्या
real number field,वास्तविक संख्या क्षेत्र,वास्तव संख्या क्षेत्र
real part,वास्तविक भाग,वास्तव भाग
real polynomial,वास्तविकबहुपद,वास्तव बहुपदी
real quadratic,वास्तविक द्विघाती,वास्तव वर्गीय
real root,वास्तविक मलू,वास्तव उकल
real space,वास्तविक समष्टि,वास्तव अवकाश
real time system,वास्तविक काल प्रणाली,वास्तव वेळ प्रणाली
real valued function,वास्तविक मान फलन,वास्तव मूल्यदर्शी फल
real variable,वास्तविक चर,वास्तव चल
real vector space,वास्तविक सदिश समष्टि,वास्तव सदिश अवकाश
reciprocal,"व्युत्क्रम, अन्योन्य, पारस्परिक",व्यस्त
reciprocal matrix,व्युत्क्रम आव्यूह,व्यस्त सारणी
rectangle,आयत,आयत
rectangular,"आयताकार, समकोणिक, समकोणीय",आयताकार
rectangular array,आयताकार सारणी,आयताकार सारणी
rectangular axis,"समकोणिक अक्ष, समकोणिक निर्देशाक्ष","लंबाक्ष, काटकोनी अक्ष"
rectangular density function,आयतीय घनत्व फलन,लंब घनता फल
rectangular hyperbola,समकोणीय अतिपरवलय,लंब अपास्त
rectangular matrix,आयताकार आव्यूह,आयताकार सारणी
"rectangular parellelopiped 
 (cuboid)","आयतफलकरी 
 समांतरषट्फलक, समकोणिक 
 समांतरषट्फलक",काटकोनी इष्टिकाचिती
rectifiable curve,चापकलनीय वक्र,रेखापनक्षम वक्र
recurrence formula,पुनरावृत्ति  सूत्र,आवर्ती सूत्र
recurring decimal,आवर्त दशमलव,आवर्ती दशमान
recursion formula,प्रतिवर्तन सूत्र,प्रत्यावर्ती सूत्र
reduced echelon form,समानीत सोपानक रूप,संक्षिप्त सोपानक रूप
reductio-ad-absurdum,असंगनत प्रदर्शन,असंगत-प्रदर्शन
reduction formula,"लघकरण सूत्र, समानयन सूत्र",संक्षेपन सूत्र
reference line,"संदर्भ रेखा, निर्देश रेखा",संदर्भ रेषा
reference point,निर्देश बिंदु संदर्भ बिंदु,संदर्भ बिंदू
reflected wave,परावर्तित तरंग,परावर्तित तरंग
reflection,परावर्तन,परावर्तन
reflexive law,स्वतुल्य नियम,स्वतुल्य नियम
region of convergence,अभिसरण प्रदेश,अभिसरण प्रदेश
region of divergence,अपसरण प्रदेश,अपसरण प्रदेश
region of integration,समाकलन प्रदेश,समाकलन प्रदेश
regression analysis,समाश्रयण विश्लेषण,प्रतिगमन विश्लेषण
regression curve,समाश्रयण वक्र,प्रतिगमन वक्र
regression equation,समाश्रयण समीकरण,प्रतिगमन समीकरण
regression line,समाश्रयण रेखा,प्रतिगमन रेषा
regression model,समाश्रयण निदर्श,प्रतिगमन प्रतिकृति
regular curve,नियमित वक्र,सुसम वक्र
regular hexagon,सम षट्भजु,सुसम षटकोण
regular matrix,नियमित आव्यूह,सुसम सारणी
regular tetrahedron,सम चतुष्फलक,सुसम चतुष्फलक
relative complement,सापेक्ष पूरक,सापेक्ष पूरक
relative maximum,आपेक्षिक उच्चतम,सापेक्ष महत्तम
relative minimum,आपेक्षिक निम्नतम,सापेक्ष लघुत्तम
relative probability (conditional probability),आपेक्षिक प्रायिकता,सापेक्ष संभाव्यता
relative velocity,आपेक्षिक वेग,सापेक्ष वेग
Relativity,"1. आपेक्षिकता, रिलेटिविटी 2. आपेक्षिकी",सापेक्षता
relativity theory,आपेक्षिकता सिद्धांत,सापेक्षता सिद्धांत
reliability,विश्वसनीयता,विश्वसनीयता
reliability problem,विश्वसनीयता समस्या,विश्वसनीयता प्रश्न
remainder term,अवशेष पद,शेष पद
remainder theorem,शेषफल-प्रमेय,शेेष प्रमेय
repeated limit,पुऩरावृृत्त सीमा,पुनरावृृत्ती सीमा
repeated Riemann integral,पुऩरावृृत्त रीमान-समाकल,पुनरावृृत्ती  रीमन समाकल
representation,निरूपण,प्रतिनिधित्व
Residue,"अवशिष्ट, अवशेष",अवशेष
residue at a pole,अनंतक पर अवशेष,ध्रुवीय अवशेष
resolution,"1. वियोजन 2. खंडन 
 3. विभेदन",वियोजन 
resolution of forces,बल-वियोजन,बल-वियोजन
resolution of velocities,वेग-वियोजन,वेग वियोजन
resultant,1. परिणामी 2. निराकरण फल,परिणाम
resultant force,परिणामी बल,परिणामी बल
resultant vector,परिणामी सदिश,परिणामी सदिश
revised simplex technique,संशोधित एकल प्रविधि,सुधारित सरल तंत्र
rhombus,समचतुर्भुज,समचतु चौकोन
Riemann integral,रीमान-समाकल,रीमन समाकल
right angle,"समकोण, लम्बकोण",काटकोन
right angled triangle,समकोण त्रिभुज,काटकोन त्रिकोण
right circular cone,लंब वृत्तीय शंकु,लंब वृत्तीय शंकु
right coset,दक्षिण सहसमुच्चय,उजवा सहसंच
right cylinder,लंबवृत्तीय बेलन,लंबवृत्तचिती
right handed,दक्षिणावर्ती,"उजवीकडून,  दक्षिणहस्त"
right inverse,दक्षिण प्रतिलोम,उजवा व्यस्त
rigorous proof,"परिशुद्ध प्रमाण, परिशुद्ध उपपत्ति",परिशुद्ध सिद्धता
ring,"वलय, रिंग",वलय
ring of integers,पूर्णांक वलय,पूर्णांक वलय
R-integrable,R-समाकलनीय,R- समाकलनीय
root,"मूल, जड़","उकल, मूळ"
root mean square,वर्ग-माध्य मूल,वर्गमध्यमूळ
root of a polynomial,बहुपद का मूल,बहुपदी-मूळ
rotation,1. घूर्णन 2. आवर्तन,घूर्णन
rounding error,निकटन त्रुटि,निकटन त्रुटी
row,पंक्ति,"रांग, पंक्ती"
row-by-column multiplication,पंक्ति-स्तंभ गुणन,पंक्ति-स्तंभ गुणाकार
row equivalence,पंक्ति तुल्यता,पंक्ती समतुल्यता
row matrix,पंक्ति आव्यूह,पंक्ती सारणी
row rank,पंक्ति कोटि,पंक्ती कोटी
saddle point,पल्याण बिंदु,खोगीर बिंदू
sample,"प्रतिदर्श, नमूना","नमुना, निवड"
sample means,प्रतिदर्श माध्य,नमुना मध्य
sample point,प्रतिदर्श बिंदु,नमुना बिंदू
sample size,प्रतिदर्श आमाप,नमुना संख्या
sample space,प्रतिदर्श समष्टि,नमुना अवकाश
sample standard deviation,प्रतिदर्श-मानक-विचलन,नमुना प्रमाण विचलन
sample survey,प्रतिदर्श सर्वेक्षण,नमुना सर्वेक्षण
sample variance,प्रतिदर्श प्रसरण,नमुना विचरण
sampling,1. प्रतिदर्शी (वि.) 2. प्रतिचयन (सं.),निवड
sampling distribution,प्रतिदर्शी बंटन,निवड वितरण
sampling error,प्रतिचयन-त्रुटि,निवड त्रुटी
sampling interval,प्रतिचयन-अंतराल,निवड अंतराल
sampling method,प्रतिचयन विधि,पद्धती
sampling theory,प्रतिचयन सिद्धांत,निवड सिद्धांत
sampling with replacement,प्रतिस्थापन सहित प्रतिचयन,प्रस्थापनसहित निवड
scalar,"अदिश, स्केलर",अदिश
scalar field,अदिश क्षेत्र,अदिश क्षेत्र
scalar matrix,अदिश आव्यूह,अदिश सारणी
scalar multiple,अदिश गुणज,अदिश गुणक
scalar multiplication,अदिश गुणन,अदिश गुणन
scalar product,अदिश गुणनफल,अदिश गुणाकार
scalar quantity,अदिश राशि,अदिश राशी
scalar triple product,अदिश त्रिक गुणनफल,अदिश त्रि-गुणाकार
scelene triangle,विषमबाहु त्रिभुज,विषमभुज त्रिकोण
scattered diagram,प्रकीर्ण आरेख,विकीर्ण आकृती
Schrodinger equation,श्रोडिन्गर समीकरण,श्रोडिन्गर समीकरण
seasonal fluctuation,"ऋतुनिष्ठ उच्चावचन, मौसमी उतार-चढ़ाव",हंगामी विचलन
secant,"1. छेदक, छेदक रेखा 2. सीकेन्ट, व्युत्क्रम कोटिज्या",छेदिका
secant method,छेदिका विधि,छेदिका पद्धती
second derivative,द्वितीय,द्वितीय विकलज
second order,द्वितीय क्रम (द्वितीय प्रकार का),"द्वितीय क्रम, द्वितीय कोटी"
section,"1. अनुभाग, खंड 2. परिच्छेद, काट, सेक्शन",विभाग
sector,"अवखंड, त्रिज्यखंड, सेक्टर","क्षेत्र, खंड, त्रिज्यखंड"
segment of a curve,वक्र खंड,वक्र-खंड
self — adjoint,स्वसंलग्नन,स्वसंलग्न
self adjoint operator,स्वसंलग्न संकारक,स्वसंलग्न परिकर्मी
self — conjugate,स्वसंयुग्मी,"स्वसंयुग्मी, स्व-अनुबद्ध"
semiaxis,अर्धाक्ष,अर्धाक्ष
semicircle,अर्धवृत्त,अर्धवर्तुळ
semi - definite matrix,सामिनिश्चित मैट्रिक्स,अर्ध-निश्चित सारणी
semi - definite quadratic form,सामिनिश्चित द्विघाती,"अर्ध-निश्चित वर्गपदरूप, अर्ध-निश्चित द्विघातरूप"
semigroup,सामिसमुह,"अर्धगट, निम्नगट"
semi - interval,अर्ध अंतराल,"अर्ध-अंतराल, निम्न-अंतराल"
semi major axis,अर्थ दीर्घ अक्ष,अर्ध दीर्घाक्ष
semi minor axis,अर्ध लघु अक्ष,अर्ध लघुक्ष
separable polynomial,पृथक्करणीय बहुपद,पृथक्करणीय बहुपदी
separation of variables,चर पृथक्करण,चल पृथक्करण
sequence,अनुक्रम,क्रमिका
sequencing theory,अनुक्रमण सिद्धांत,"क्रमिका शास्त्र, क्रमिका सिद्धांत"
sequential analysis,आनुक्रमिक विश्लेषण,क्रमिक विश्लेषण
sequential sampling,आनुक्रमिक प्रतिचयन,क्रमिक नमुना सामग्री
serial correlation,श्रेणीगत सहसंबंध,अनुक्रमिक सहसंबंध
series,1. श्रेणी 2. माला 3. सीरीज,श्रेणी
set,"1. समुच्चय 2. पवन दिशा, धारा दिशा 3. जम जाना, जमाना (क्रि.)",संच
sextant,सेक्सटैन्ट,"कोनदर्श, सेक्टन्ट, षष्टक"
Shewhart control charts,शेवहार्ट नियंत्रण चार्ट,शेहार्ट नियंत्रण तक्ता
sign,1. चिह्न 2. राशि,चिन्ह
signature of a matrix,आव्यूह का चिन्हक,सारणी चिन्हांक
signature of quadratic form,द्विघाती समघात का चिन्हक,वर्गपदरूप चिन्हांक
signed number,सचिन्ह संख्या,चिन्हांकित संख्या
significance level,सार्थकता स्तर,सार्थकता स्तर
significance test,सार्थकता परीक्षण,सार्थकता चाचणी
significant digit,सार्थक अंक,सार्थक अंक
sign test,चिन्ह परीक्षण,चिन्ह चाचणी
signum function,चिन्ह फलन,चिन्हं फल
similar ellipses,समरूप दीर्घवृत्त,समरूप लंबवर्तुळं
similar figures,समरूप आकृति,समरूप आकृत्या
similarity,1. सादृश्य 2. समरूपता,समरूपता
similar matrices,समरूप आव्यूह,समरूप सारणी
simple closed curve,सरल संवृत वक्र,सरल संवृत वक्र
simple correlation,सरल सहसंबंध,सरल सहसंबंध
simple harmonic motion,सरल आवर्त गति,सरल आवृत गति
simple random sampling,सरल यादृच्छिक प्रतिचयन,सरल यादृच्छिक नमुना चाचणी
simplex,"प्रसमुच्चय, सिम्पलेक्स, एकमुखी, सरल","एकपथी, सिम्प्लेक्स"
simplex algorithm,एकधा कलनविधि,"सरलाकृति कोष्टक, सिम्प्लेक्स कोष्टक"
simplex tableau,एकधा सारणी,"सरल अल्गोरिथम, सिम्प्लेक्स अल्गोरिथम"
Simpson's one - third rule,सिम्प्सन का एक-तिहाई नियम,"रीत, अल्गोरिथम, गणन विधि"
simulation technique,अनुकार प्रविधि,सिम्पसन चा एक-तृतीयांश नियम
simultaneous differential equations,युगपत अवकल समीकरण ,एकसामयिक अवकल समीकरण
simultaneous equations,युगपत समीकरण,एकसामयिक समीकरण
sine,"साइन, ज्या","साइन, ज्या"
sine curve,"साइन वक्र, ज्या वक्र",साइन वक्र
singleton,एकल,एकल
single valued function,एकमानी फलन,एकमूल्य फल
singular integral,विचित्र समाकल,संविशेष समाकल
singularity,"विचित्रता, वैचित्र्य",विचित्रता
singular matrix,अव्युत्क्रमणीय मैट्रिक्स,संविशेष सारणी
singular solution,विचित्र हल,संविशेष उकल
size of sample,प्रतिदर्श आमाप,नमुन्याचे आकारमान
skewed distribution,विषम बंटन,"विषम वितरण, असममित वितरण"
skew-Hermitian matrix,विषम हर्मिटीय आव्यूह,विषम हर्मिटी सारणी
skewness,वैषम्य,विषमता
skew symmetric matrix,विषम सममित आव्यूह,विषम सममित सारणी
slack variable,न्यूनतापूरक चर,न्यूनतापूरक चल
slope,"ढलान, ढाल, प्रवणता","चढ, उतार, ढाळ"
slope gradient,ढाल प्रवणता,चढ प्रवणता
small brackets,"लघुकोष्ठक, लघु बंधनी",लघुकंस
smooth curve,निष्कोण वक्र,निष्कोन वक्र
smooth function,मसृण फलन,"निष्कोन फल, मसृण वक्र"
smoothing of time series,सौर परिवार,काळश्रेणीचे निष्कोनन
solar system,,सूर्यमाला
solenoidal vector,परिनालिकीय सदिश,"सॉलिनॉईडी सदिश, नालकुंतल सदिश"
solid,"1. ठोस, पिंड 2. घनाकृति","घन, घनाकृति, घनरूप, घनपदार्थ"
solid geometry,"घन ज्यामिति, त्रिविम ज्यामिति",घन भूमिती
solution,1. हल 2. साधन,"उकल , उत्तर, निरसन"
solution in series,श्रेणी रूप हल,श्रेणी रूप उकल
solution matrix,हल आव्यूह,उकल सारणी
solution of a triangle,त्रिभुज का हल,त्रिकोण-उकल
solution space,हल समष्टि,"उकल अवकाश, उकल अभिक्षेत्र"
Sonine polynomial,सोनाइन बहुपद,सोनाइन बहुपदी
space,"1. आकाश, अंतरिक्ष, दिकस्थान, अवकाश 2. समष्टि","अंतर, अंतराक, अंतरिक्ष, अवकाश, अभिक्षेत्र"
space curve,आकाश वक्र,"अंतराळ वक्र,अभिक्षेत्र वक्र"
spanning set,जनक समुच्चय,जनक संच
spatial correlogram,स्थानीय सहसंबंध चित्र,"अवकाशी सहसंबंध चित्र , अभिक्षेत्रीय सहसंबंध चित्र"
special linear group,विशिष्ट रैखिक समूह,विशेष रेषीय गट
special orthogonal group,विशिष्ट लांबिक समूह,विशेष लांबिक गट
specific gravity,"विशिष्ट घनत्व, आपेक्षिक घनत्व","विशिष्ट गुरुत्व, विशिष्ट दृढत्व, विशिष्ट घनत्व"
spectral mapping theorem,मानावल्लीय प्रतिचित्रण प्रमेय,"मानपंक्तीय प्रतिचित्रण प्रमेय , स्पेक्ट्र्मी प्रतिचित्रण प्रमेय"
spectrum of a function,फलन की मानावली ,फलाची मानपंक्ति
sphere,"गोला, गोलक",गोळा
spherical coordinate system,गोलीय निर्देशांक प्रणाली,गोलाकार निर्देशक पद्धती
spherical polar coordinate,गोलीय धुवीय निर्देशांक,गोलाकार धुवीय निर्देशांक
spherical triangle,गोलीय त्रिभुज,गोलीय त्रिकोण
spherical trigonometry,गोलीय त्रिकोणमिति,गोलीय त्रिकोणमिती
spiral,सर्पिल,"वलयाकार, नागमोडी"
square,1. वर्ग 2. स्कवेयर,"वर्ग, चौरस"
square brackets,"गुरुकोष्ठक, गुरुबंधनी",चौकोनी कंस
square integrable,वर्ग समाकलनीय,वर्ग समाकलनीय
square matrix,वर्ग आव्यूह,चौरस सारणी
square root,वर्गमूल,वर्गमूळ
stage of sampling,प्रतिचयन का चरण,नमुनाचाचणी स्तर
staircase function,सोपान-फलन,"पायरीफल, जिनाफल, शिडीफल"
standard deviation,मानक विचलन,प्रमाणित विचलन
standard inner product,मानक आंतर गुणनफल,प्रमाणित आंतरगुणाकार
state of equilibrium,साम्यावस्था,समतोल अवस्था
stationary curve,स्तब्ध वक्र,स्थिरवक्र
stationary point,स्तब्ध बिंदु,स्थिरबिंदू
stationary value,स्तब्ध मान,"स्थिरमूल्य, अचलमूल्य"
statistic,"प्रतिदर्शज, आंकड़ा","सांख्यिकी, नमुनाफल"
statistical,सांख्यिकीय,सांख्यिकीय
statistical data,सांख्यिकीय आंकड़े,सांख्यिकीय आकडेवारी
statistical distribution,सांख्यिकीय बंटन,सांख्यिकीय वितरण
statistical hypothesis,सांख्यिकीय परिकल्पना,सांख्यिकीय परिकल्पना
statistical inference,सांख्यिकीय अनुमिति,सांख्यिकीय अनुमिति
statistical model,सांख्यिकीय निदर्श,सांख्यिकीय प्रतिकृती
statistical population,सांख्यिकीय समष्टि,सांख्यिकीय समष्टी
statistical quality control,सांख्यिकीय गुणता-नियंत्रण ,सांख्यिकीय गुणवत्ता नियंत्रण
statistics,1. सांख्यिकी 2. आंकड़े,सांख्यिकी
steady,"अपरिवर्ती, अचर, स्थिर, स्थायी","अचल, स्थिर, एकसारखा"
steady state solution,स्थायी अवस्था हल,स्थिरावस्थी उकल
steep ascent (of a curve),अधिक प्रवण आरोह,"अतिप्रवणचढ, तीव्रचढ, तीव्र आरोह"
steepest ascent design,प्रवणतम-आरोहण अभिकल्पना,अतितीव्र आरोह रचना
steepest descent,प्रवणतम अवरोहण,अतितीव्र अवरोह
step function,"पग-फलन, सोपान फल्लनन",सोपान फल
Stirling series,स्टर्लिंग श्रेणी,स्टर्लिंग श्रेणी
stochastic,"स्टोकैस्टिक, प्रसंभाव्य",प्रसंभाव्य
stochastic matrix,प्रसंभाव्य आव्यूह,प्रसंभाव्य सारणी
stochastic model,प्रसंभाव्य निदर्श,प्रसंभाव्य प्रारूप
stochastic programming,प्रसंभाव्य प्रोग्रामन,प्रसंभाव्य आज्ञावलीकरण
stochastic variable,प्रसंभाव्य चर,प्रसंभाव्य चल
Stokes’ theorem,स्टोक्स प्रमेय,स्टोक्स प्रमेय
straight line,"सीधी रेखा, ऋजु रेखा, सरल रेखा",सरळ रेषा
strata chart,"स्तरी चार्ट, पट्टीदार चार्ट",स्तरीय आलेख
stratification,1. स्तरण 2. स्तरविन्यास,स्तरीकरण
stratified sampling,स्तरित प्रतिचयन,स्तरीय नमुनानिवड
stream-line,"प्रवाह-रेखा, धारा-रेखा",प्रवाह रेषा
stress,प्रतिबल,प्रतिबल
strictly convex function,दृढ़तः अवमुख फलन,दृढ़तः बहिर्मुख फल
strictly decreasing,निरंतर हृासमान,काटेकोर उतरता
strictly increasing,निरंतर वर्धमान,काटेकोर चढता
strictly monotonic function,निरंतर एकदिष्ट फलन,"नित्य एकदिक फल, सर्वथा एकदिक फल"
"Student's test (Student's ""t"" test)",स्टूडैन्ट परीक्षण (स्टूडेन्ट 't' परीक्षण),स्टुडन्ट 't' चाचणी
sub-collection,उपसंग्रह,उपसंग्रह
sub determinant,अव-सारणिक,"उप सारणीक, अवसारणीक"
subfield,उपक्षेत्र,उपक्षेत्र
subgroup,"उपवर्ग, उपसमृूह, उपग्रुप",उपगट
sub-interval,उपांतराल,उप-अंतराल
submatrix,"उपमैट्रिक्स, उपाव्यूह",उपसारणी
subscript,"पादांक, पादाक्षर, पादलिपि","पादाक्षर, पादांक, तलरेखित"
subsequence,उपानुक्रम,उपक्रमिका
subset,उपसमुच्चय,उपसंच
subspace,उपसमष्टि,उपवकाश
substitution,प्रतिस्थापन,प्रतिस्थापन
subtangent,अधः स्पर्शी,उपस्पर्शिका
subtend,"कक्षांतरित करना, अंतरित करना",अंतरिक करणे
subtract,"घटाना, व्यवकलन करना","उणे, वजा"
subtraction,"व्यवकलन, घटाना",वजाबाकी
successive,उत्तरोत्तर,लागोपाठ
successive differentiation,उत्तरोत्तर अवकलन,लागोपाठ विकलन
successive integration,उत्तरोत्तर समाकलन,लागोपाठ समाकलन
successor,परवर्ती,अनुक्रमिक
suffix,अनुलग्न,अनुलग्न
sum,"1. योगफल, जोड़, संकलन फल 2. धनराशि","बेरीज, संकलन"
sum function,योग फलन,बेरीज फल
summable,संकलनीय,संकलनीय
summand,योगखंड,बेरजेचा भाग
summation,संकलन,बेरीज करणे
summation convention,संकलन-परिपाटी,बेरीज संकेत
summation formula,संकलन सूत्र,बेरीज सूत्र
summation of series,श्रेणी-संकलन,श्रेणीची बेरीज
summation sign,संकलन चिन्ह,बेरीज चिन्ह
sum to infinity,अनंत तक योग,अनंत पंदाची बेरीज
superscript,"मूर्धांक, मूर्धाक्षर","शिराक्षर, शिरांक, शिरोरेखित"
superset,अधिसमुच्चय,अधिसमुच्चय
supersonic flow,पराध्वनिक प्रवाह,पराधवनिक प्रवाह
supplementary angle,संपूरक कोण,पूरक कोन
